scenario_name,scenario_type,lambda_proc,p_dist,severity_mean,severity_kappa,rotation_length,discount_rate,terminal_value_mean,terminal_value_std,terminal_value_median,terminal_value_p5,terminal_value_p25,terminal_value_p75,terminal_value_p95,terminal_value_var_5,terminal_value_cvar_5,terminal_value_min,terminal_value_max,terminal_value_n,npv_mean,npv_std,npv_median,npv_p5,npv_p25,npv_p75,npv_p95,npv_var_5,npv_cvar_5,npv_min,npv_max,npv_n,lev_mean,lev_std,lev_median,lev_p5,lev_p25,lev_p75,lev_p95,lev_var_5,lev_cvar_5,lev_min,lev_max,lev_n,thin_revenue_mean,thin_revenue_std,thin_revenue_median,thin_revenue_p5,thin_revenue_p25,thin_revenue_p75,thin_revenue_p95,thin_revenue_var_5,thin_revenue_cvar_5,thin_revenue_min,thin_revenue_max,thin_revenue_n,disturbance_any_probability,disturbance_count_mean,disturbance_count_max,mean_disturbance_severity_conditional,max_disturbance_severity_mean,first_disturbance_year_mean,vol_pulp_mean,vol_cns_mean,vol_saw_mean,vol_total_mean,terminal_value_downside_prob_vs_deterministic,npv_downside_prob_vs_deterministic,lev_downside_prob_vs_deterministic
deterministic,deterministic,0.0,0.0,0.0,0.0,35,0.05,6552.879421120581,0.0,6552.879421120581,6552.879421120581,6552.879421120581,6552.879421120581,6552.879421120581,6552.879421120581,6552.879421120581,6552.879421120581,6552.879421120581,1,1199.726499416337,0.0,1199.726499416337,1199.726499416337,1199.726499416337,1199.726499416337,1199.726499416337,1199.726499416337,1199.726499416337,1199.726499416337,1199.726499416337,1,1465.3869105889366,0.0,1465.3869105889366,1465.3869105889366,1465.3869105889366,1465.3869105889366,1465.3869105889366,1465.3869105889366,1465.3869105889366,1465.3869105889366,1465.3869105889366,1,264.7819025616866,0.0,264.7819025616866,264.7819025616866,264.7819025616866,264.7819025616866,264.7819025616866,264.7819025616866,264.7819025616866,264.7819025616866,264.7819025616866,1,0.0,0.0,0,0.0,0.0,nan,1.5188491368455745,375.391376179595,7629.278843641262,8006.189068957703,0.0,0.0,0.0
dist_30,stochastic,0.0,0.03333333333333333,0.3,12.0,35,0.05,5155.528825311909,1539.6264756460948,5432.835385034309,2217.994598124879,4086.2068936193173,6552.879421120581,6788.728043361322,2217.994598124879,1575.3960231907329,-138.51026933600016,7559.662313132538,1000,900.6598324078244,290.01699747439983,951.4874117785484,357.20977028522435,691.3166375159034,1199.726499416337,1199.726499416337,357.20977028522435,227.82521531493472,-13.35744697182848,1219.69333791692,1000,1100.0966719879382,354.2366632345331,1162.1792129195708,436.3082102171667,844.3977458037353,1465.3869105889366,1465.3869105889366,436.3082102171667,278.2734969903802,-16.315241816302205,1489.7750888936018,1000,190.275319599102,118.97402441865974,264.7819025616866,0.0,0.0,264.7819025616866,264.7819025616866,0.0,0.0,0.0,264.7819025616866,1000,0.693,1.153,6,0.3001078291327339,0.2361544086429692,14.975468975468976,14.8781109952825,428.24796970240385,5959.777378319822,6402.903459017508,0.629,0.689,0.689
dist_20,stochastic,0.0,0.05,0.3,12.0,35,0.05,4576.8204418689775,1676.861079700324,4682.464640500931,1660.8714841076767,3312.819499037517,6476.884389910736,6558.297970642792,1660.8714841076767,1212.377026823096,53.959146398695964,7470.216252948428,1000,781.8011290198857,317.86368712879556,791.823901948366,242.82620271871085,529.9649018297732,1062.7198720739761,1199.726499416337,242.82620271871085,144.84159429119825,-141.01773095199894,1203.4776361424788,1000,954.918593285006,388.2495607929649,967.1607503635946,296.5962152083219,647.3172265434794,1298.0423379141605,1465.3869105889366,296.5962152083219,176.9144688280317,-172.24387158118452,1469.968677067373,1000,167.5612059401837,127.59466474792717,264.7819025616866,0.0,0.0,264.7819025616866,264.7819025616866,0.0,0.0,0.0,264.7819025616866,1000,0.809,1.676,6,0.300458321691104,0.29202682987951967,13.3114956736712,22.505421617842913,440.65898329413767,5275.653330056377,5738.8177349683565,0.758,0.808,0.808
dist_10,stochastic,0.0,0.1,0.3,12.0,35,0.05,2968.3564166325227,1732.51195505733,2842.5850594945996,184.41389530928774,1664.4207664480878,4158.133198964699,6332.03060492044,184.41389530928774,-18.455119592808483,-268.5832712835583,7605.100271481114,1000,446.03556928717336,328.80877228797135,424.0390148080497,-83.05257360260177,204.0753719573434,681.0750230108961,1030.1396491676471,-83.05257360260177,-140.34082530424803,-199.4915378919249,1227.930798351772,1000,544.8030740410334,401.6182615221229,517.9357313363039,-101.44324919653398,249.26462738411308,831.8882881513148,1258.2477412171377,-101.44324919653398,-171.41707591033745,-243.66577594335234,1499.8366043336616,1000,95.61837466311212,126.97840172181245,0.0,0.0,0.0,264.7819025616866,264.7819025616866,0.0,0.0,0.0,264.7819025616866,1000,0.973,3.43,11,0.3011824362321932,0.40235172647636136,9.639260020554985,94.87510167191797,471.0523642440339,3360.1709310126507,3926.098396928603,0.954,0.97,0.97
noise_025,stochastic,0.25,0.0,0.3,12.0,35,0.05,6242.767763323268,100.19922904626964,6242.544062399299,6082.577398730039,6176.275450097104,6307.292405889367,6406.228123398282,6082.577398730039,6034.20080456254,5924.973271667067,6617.995724316885,1000,1138.3316606917572,24.867246988175957,1138.9677735584996,1098.5562764372125,1120.9146025613275,1154.4126428989985,1178.128312859343,1098.5562764372125,1087.4978519334643,1061.0762176630415,1228.931240445733,1000,1390.3971582674812,30.373704553982268,1391.1741282427506,1341.814145823719,1369.1233687681952,1410.039019014384,1439.0061480664165,1341.814145823719,1328.3070085491718,1296.0347222946946,1501.058578466938,1000,256.3530117346857,15.461660071939303,255.90190361883538,231.15842718349958,246.2602381686339,265.89717871259023,282.33629035444324,231.15842718349958,225.76522348016658,205.22315389067225,304.35408026632626,1000,0.0,0.0,0,0.0,0.0,nan,24.956587951428386,668.8964479570063,7013.649835803625,7707.502871712059,0.997,0.988,0.988
n025_d30,stochastic,0.25,0.03333333333333333,0.3,12.0,35,0.05,4919.4287127292655,1470.9875557674748,5138.270256128153,2298.205462421412,3822.805221652911,6224.160862680143,6548.22140741131,2298.205462421412,1552.8173418259144,-154.15871182814917,7465.896042547987,1000,856.0067750649655,278.144115102438,898.7194899992628,338.21672414642927,649.8922931585072,1122.8847195197468,1165.9527555454467,338.21672414642927,208.48276805286466,-178.74747685691085,1204.9809986186322,1000,1045.5559030878294,339.7347193103976,1097.7266715178725,413.1094551529563,793.8006371872393,1371.5297368900974,1424.1345066334823,413.1094551529563,254.6479714640343,-218.3282714971672,1471.8049353274828,1000,187.26121206794227,114.66051176021816,248.4043066581325,0.0,0.0,263.21742967871523,279.79865398807476,0.0,0.0,0.0,299.70502483182645,1000,0.691,1.136,6,0.29391577974329486,0.22960418324408988,15.021707670043416,58.741605427558284,733.9254430223482,5412.697870995627,6205.364919445535,0.95,0.997,0.997
n025_d20,stochastic,0.25,0.05,0.3,12.0,35,0.05,4306.687540796166,1641.6791630802038,4363.773375493931,1459.1410006150709,3086.611045370364,5800.695535583731,6598.4637941428,1459.1410006150709,940.0155781809927,-82.43506691813187,7543.824601597522,1000,722.3540332752823,307.94861112960916,742.9779684873822,189.40016947836804,495.8400367704925,977.9898560393594,1151.5207319177875,189.40016947836804,95.93177278983738,-124.08335105147172,1216.8221146734052,1000,882.3078807442315,376.1389484210861,907.4986594086591,231.33983399712454,605.6359511796263,1194.5502032555341,1406.50674019874,231.33983399712454,117.17434283914704,-151.5596417527648,1486.268078787155,1000,150.49914551783343,127.34231490198106,240.04385849035677,0.0,0.0,259.5590511620686,278.7241338059236,0.0,0.0,0.0,309.1832300811277,1000,0.85,1.74,9,0.29878379878020406,0.30545568452213573,12.81764705882353,83.70927168899033,770.3385240664728,4662.900664043796,5516.948459799257,0.948,0.997,0.997
n025_d10,stochastic,0.25,0.1,0.3,12.0,35,0.05,2797.068019794631,1747.2509692219787,2624.664797085934,131.9290754684349,1472.8456756009834,3976.313809043781,6180.002625596356,131.9290754684349,-80.86204293081494,-250.65356543981525,7356.462857161086,1000,413.5953112293126,332.7019185451889,379.67054571247274,-90.31933066860147,167.32255486412672,638.4663687713454,1028.98417932194,-90.31933066860147,-150.16343722235052,-196.24105640322495,1182.855250560367,1000,505.1794351889757,406.3734832906763,463.7425682385822,-110.31911439758287,204.373481675595,779.8446230069478,1256.8364108945157,-110.31911439758287,-183.4147494964297,-239.69552686660873,1444.7797911739244,1000,93.35855096728469,123.25984484379043,0.0,0.0,0.0,248.66717226276273,272.8323426432061,0.0,0.0,0.0,299.9179230222154,1000,0.967,3.419,10,0.30026074532601793,0.3982472970203487,9.191313340227508,180.01617941605338,749.1227095788767,2897.462173851259,3826.6010628461895,0.986,1.0,1.0
noise_050,stochastic,0.5,0.0,0.3,12.0,35,0.05,6268.674094472825,191.9405296975473,6250.09418608701,6020.3691121407355,6155.957810066306,6345.522354664821,6522.614344075924,6020.3691121407355,5973.5990035859,5875.79062712619,7365.866895509162,1000,1139.5664174777398,38.307232493971874,1139.374233370273,1075.7951655661855,1113.7562340456905,1163.2773910769324,1205.0179116182808,1075.7951655661855,1066.82056447823,1037.0072354998022,1283.6210984286738,1000,1391.9053323661778,46.789761753918924,1391.670592135265,1314.0129478364336,1360.3798930434448,1420.8667251223437,1471.8500221256338,1314.0129478364336,1303.0510636332876,1266.6360456543366,1567.858638371556,1000,250.7140890357649,46.103721156327175,254.23506444618084,206.72702424999983,234.47932706526547,274.7261453826535,302.370479290011,206.72702424999983,117.07711001151458,0.0,355.44430735857304,1000,0.0,0.0,0,0.0,0.0,nan,25.731255931731226,675.0975002673331,7038.183777906075,7739.012534105139,0.961,0.939,0.939
n050_d30,stochastic,0.5,0.03333333333333333,0.3,12.0,35,0.05,4878.535402669491,1529.2282977028144,5113.872358569906,1969.3146322722441,3818.829636581332,6202.526102401576,6623.4905760445645,1969.3146322722441,1417.5957715043305,570.9425599370838,7640.479423008981,1000,840.2453650056071,287.22256155626445,888.0329597898722,289.6650446548009,638.8633639758895,1111.9303372472682,1178.9628197387046,289.6650446548009,193.26090025885074,-23.026163334444533,1246.9788956820664,1000,1026.3043786740193,350.8234437891784,1084.6737786326419,353.80677604338075,780.3295265050272,1358.149680349305,1440.0254432627864,353.80677604338075,236.05546239558004,-28.124942116218495,1523.1026008028712,1000,173.6634437163648,123.40942389633037,237.89088253701115,0.0,0.0,266.2668405357531,299.20632091110497,0.0,0.0,0.0,344.3418593930967,1000,0.711,1.206,5,0.29812485240355496,0.2400328630449578,14.520393811533053,63.57481889719412,755.3075495704236,5345.559257795493,6164.44162626311,0.935,0.974,0.974
n050_d20,stochastic,0.5,0.05,0.3,12.0,35,0.05,4324.263608928257,1675.8615342242892,4346.641782241022,1286.043373244944,3151.716876759747,6025.223124964245,6494.4044648045965,1286.043373244944,637.2005387277347,-121.09599152789954,7470.302573090794,1000,724.4511863809274,320.30520003175786,725.9258488368389,141.9346632410126,502.0911902598134,999.44416853879,1168.2961352350549,141.9346632410126,19.199265445784455,-172.75352685914618,1280.7605589182645,1000,884.8694151539561,391.231708017166,886.670618229391,173.36384398728762,613.2713234947246,1220.7552330916217,1426.9967906001714,173.36384398728762,23.45063836704639,-211.00705630877047,1564.364677741516,1000,148.7249253081935,129.47364861897762,225.20508915669987,0.0,0.0,263.44504316806757,297.4327258334512,0.0,0.0,0.0,389.781178159202,1000,0.816,1.721,9,0.30220005873197764,0.29977254589928976,12.650735294117647,94.71460211216426,772.9859806125389,4677.28123715747,5544.981819882172,0.958,0.983,0.983
n050_d10,stochastic,0.5,0.1,0.3,12.0,35,0.05,2702.3790165603777,1717.0500978314751,2615.3188638376146,58.007823486376466,1387.2795179301058,3933.95103004528,5890.532978605725,58.007823486376466,-79.37308286958454,-261.536397556511,7491.481145155802,1000,394.6194726573734,326.0027025088439,373.7458832455792,-120.55663114752429,148.71382362440187,612.8206681138652,986.5777194102819,-120.55663114752429,-159.43698425578384,-198.2140081431049,1207.3327545187456,1000,482.00169803446903,398.1908320817188,456.5059832061877,-147.25198564358305,181.64414195139415,748.5200885612749,1205.0397128060843,-147.25198564358305,-194.7417764847768,-242.10535748737962,1474.6774502836856,1000,90.41083458323033,123.46220811126888,0.0,0.0,0.0,240.0620002133568,285.4158729448121,0.0,0.0,0.0,357.4584701899548,1000,0.973,3.48,10,0.3023295223291147,0.40418030605097705,9.346351490236382,206.82088375873275,757.6301623921331,2771.3152676960813,3735.7663138469475,0.99,0.998,0.998
noise_100,stochastic,1.0,0.0,0.3,12.0,35,0.05,6430.251864932134,357.5708849476072,6355.530485020376,5974.497463108918,6173.697414830757,6627.415211505917,7151.597217535846,5974.497463108918,5885.141449565966,5738.101100894746,7479.162848713878,1000,1152.203703350494,64.78153187027861,1143.5418734137475,1060.8568750608752,1104.696868612427,1188.8402483071966,1271.4344232444191,1060.8568750608752,1044.4161307146862,1005.0556989632496,1401.372996838086,1000,1407.3409448264458,79.12637496695241,1396.761089986838,1295.7668097510395,1349.314474774694,1452.090071777358,1552.9734171921507,1295.7668097510395,1275.6855232436856,1227.6093479556139,1711.6848276822839,1000,223.5845326295662,114.5552466074038,251.7589599377213,0.0,210.8812788284336,295.8552882424822,358.25521995518267,0.0,0.0,0.0,432.5772606090525,1000,0.0,0.0,0,0.0,0.0,nan,32.644499448523455,726.0278429231587,7180.134491139917,7938.8068335116,0.708,0.8,0.8
n100_d30,stochastic,1.0,0.03333333333333333,0.3,12.0,35,0.05,4968.305125470943,1538.6561431516923,5201.178407635005,2153.706349626953,3842.9573519555247,6275.282086309142,6981.6311629246475,2153.706349626953,1513.301691756531,-6.782230485378591,7598.498143065956,1000,852.1306648438111,291.9879909529798,886.6358578874799,317.1684130409653,657.2302734387453,1105.3095181196502,1222.6375721671739,317.1684130409653,184.01574516490703,-152.02955250002125,1421.3267538714333,1000,1040.8214897154128,356.64410196808814,1082.9673106655505,387.40032928222155,802.7634968540482,1350.062785801499,1493.371277136613,387.40032928222155,224.76311429155732,-185.69408641436814,1736.0570278362059,1000,166.51409680264572,138.53233810720332,227.66590784283738,0.0,0.0,275.6218829243196,347.7747711662106,0.0,0.0,0.0,447.2313824383641,1000,0.705,1.159,5,0.29674064694592417,0.23548183379716953,15.37872340425532,68.17340668622126,765.6883138496491,5439.305238084709,6273.16695862058,0.865,0.937,0.937
n100_d20,stochastic,1.0,0.05,0.3,12.0,35,0.05,4269.405562262008,1727.9345153548102,4331.251943795841,1216.521036824008,2998.4105682500704,5741.145458400533,6879.81481462298,1216.521036824008,729.9200897783916,63.56263208539451,7799.34119260557,1000,704.2393543569913,326.3138051393828,717.7063874469545,141.29815479286273,467.59707578484046,962.825718282699,1186.381733801569,141.29815479286273,41.072105202399705,-103.74081040939416,1411.9687100602027,1000,860.1819933946572,398.5708234571391,876.6310874374252,172.5863908353802,571.1390342866653,1176.0282076258732,1449.087158215148,172.5863908353802,50.16687168551235,-126.71256802427231,1724.6267935983471,1000,132.00171395754415,140.98056013595368,0.0,0.0,0.0,265.32862959707757,334.90670645897734,0.0,0.0,0.0,564.1310762653796,1000,0.842,1.783,6,0.30156493264753464,0.3071079466778874,13.041567695961994,106.11132483545488,804.4232689417859,4583.209062811396,5493.743656588636,0.91,0.963,0.963
n100_d10,stochastic,1.0,0.1,0.3,12.0,35,0.05,2717.3562774138622,1799.6805710693764,2573.730622574596,50.75015680157557,1322.628865943738,3969.583823284829,6103.648160381653,50.75015680157557,-73.17343289819648,-254.7156109744373,7512.100416003636,1000,391.2290165991827,335.63461217401374,367.426855609644,-119.6109422867707,132.2964455147689,629.4728009683058,999.7481555503172,-119.6109422867707,-155.22687431554542,-189.83181139093728,1330.3830762346502,1000,477.8604792391713,409.9555754246237,448.78770709087803,-146.09688897887463,161.59139576320075,768.8595722103873,1221.126533207021,-146.09688897887463,-189.59940445117817,-231.8670561673844,1624.9753147335978,1000,80.46531228524394,127.9465825536439,0.0,0.0,0.0,222.24721996853822,320.7848231987667,0.0,0.0,0.0,475.4724471571267,1000,0.981,3.552,11,0.2983632654639911,0.4038885802619858,8.817533129459735,230.88499626377205,771.004743191801,2769.1532023604777,3771.0429418160506,0.982,0.993,0.993
